course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,offered_main_campus_fall,offered_main_campus_spring,offered_main_campus_even_year,offered_main_campus_odd_year
CMF-4483,Selected Topics,3,Topics are chosen from some areas of Christian Ministries. The student may also do an independent study and research under the supervision of the instructor.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
CMF-4482,Selected Topics,2,Topics are chosen from some areas of Christian Ministries. The student may also do an independent study and research under the supervision of the instructor.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
CMF-4481,Selected Topics,1,Topics are chosen from specific areas of Christian Ministries. The student may also do an independent study and research under the supervision of the instructor.,None,Upon Sufficient Request,Main Campus,0,0,0,0,0
CMF-4183,Cross-Cultural Ministry,3,"An overview of the layers of human culture and cultural value dimensions, with specific analysis of major world religious belief systems, and practical exploration of critically contextualized strategies for cross-cultural and intercultural evangelism, discipleship, and ministry.",None,"Main Campus, Fall Semester, Odd Year",Main Campus,0,0,0,0,0
CMF-3223,Preaching and Teaching,3,"A foundational course to provide hermeneutical, exegetical, and practical tools for preaching, teaching, and presenting the Christian message in a variety of contexts.",None,"Main Campus, Fall Semester, Even Year",Main Campus,0,0,0,0,0
CMF-2263,Discipleship and Evangelism,3,"A consideration of the biblical and practical application of discipleship and evangelism. The social, cultural, community and ontological ramifications of discipleship and evangelism are considered, as well as a critique of current issues, worldview and the needs of the 21st-century world.","BBL 1013 or BBL 1083, and BBL 1023 or BBL 1093 - Must be completed prior to taking this course.","Fall Semester, Each Year",Main Campus,0,0,0,0,0
BUS-2193,Business Statistics,3,"A study of statistical theory as it applies in business settings. Topics include probability, distributions, descriptive statistics, estimation, hypothesis testing, regression and correlation, non-parametric methods, ANOVA, and statistical quality control. Meets the Mathematics requirement of the Core Curriculum.","Minimum ACT math score of 24, or minimum SAT math score of 580, or CLT math score of at least 21, or MTH 1113 (or higher) - Must be taken either prior to or at the same time as this course.","Main Campus, Spring Semester, Each Year, Online, Fall B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0,1,1,1
MTH-2103,Appl Statistics for Scientists,3,"A study of the essential statistical techniques needed to analyze quantitative data in the context of applications to various scientific fields. Topics include descriptive statistics, probability distributions, sampling techniques, hypothesis testing (t-tests, z-tests, chi-square tests, and ANOVA), correlation, and regression. Meets the Mathematics requirement of the Core Curriculum.","Minimum ACT math score of 23, or minimum SAT math score of 560, or CLT math score of at least 20, or MTH 1113 - Must be taken either prior to or at the same time as this course.","Spring Semester, Each Year",Main Campus,0,0,1,1,1
PSY-2383,Stats for Behavioral Sciences,3,"A study of the essential statistical techniques needed to analyze experimental data and understand current research publications with applications in the social and behavioral sciences. Topics include graphing, descriptive statistics, inferential statistics and hypothesis testing (using correlation, regression, t-tests, ANOVA, and chi square). Extensive use of statistical software for both calculation and enhancing conceptual understanding and critical thinking. Meets the Mathematics requirement or the Social and Behavioral Sciences requirement of the Core Curriculum (cannot meet both core requirements).","PSY 1013, or POL 1013/2013 allowed for Political Science majors only - Must be completed prior to taking this course., Minimum ACT math score of 19, or minimum SAT math score of 510, or CLT math score of at least 18, or MTH 0153 - Must be taken either prior to or at the same time as this course.","Fall and Spring, Each Year","Main Campus, Online, Lakeside Manor, Off-Campus",0,1,1,1,1
MTH-1163,Calculus I,3,A study of the foundational principles of differential and integral calculus with a strong emphasis on applications to science and engineering. Meets the Mathematics requirement of the Core Curriculum.,"Minimum ACT math score of 24, or minimum SAT math score of 580, or CLT math score of at least 21, or MTH 1113 - Must be completed prior to taking this course.","Main Campus, Fall and Spring, Each Year",Main Campus,0,1,1,1,1
